"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3452","Send post comment @Crash","firefox","Thu Nov 21 00:37:47 GMT 2024","passed","Thu Nov 21 00:37:50 GMT 2024","","test.spec.js","",""
"","8624","Retrieve password @Crash","firefox","Thu Nov 21 00:38:07 GMT 2024","passed","Thu Nov 21 00:38:16 GMT 2024","","test.spec.js","",""
"","4270","Choose Product in hot item @Perfomance","firefox","Thu Nov 21 00:37:50 GMT 2024","passed","Thu Nov 21 00:37:54 GMT 2024","","test.spec.js","",""
"","2811","Filter by Price on product details @Functional","firefox","Thu Nov 21 00:38:01 GMT 2024","passed","Thu Nov 21 00:38:04 GMT 2024","","test.spec.js","",""
"","3600","Change perPage @Crash","firefox","Thu Nov 21 00:37:39 GMT 2024","passed","Thu Nov 21 00:37:42 GMT 2024","","test.spec.js","",""
"","3127","Choose product with select options @Crash","firefox","Thu Nov 21 00:37:58 GMT 2024","passed","Thu Nov 21 00:38:01 GMT 2024","","test.spec.js","",""
"","3269","Select currency @Crash","firefox","Thu Nov 21 00:37:43 GMT 2024","passed","Thu Nov 21 00:37:47 GMT 2024","","test.spec.js","",""
"","3726","Check manufacturer link @Functional","firefox","Thu Nov 21 00:37:54 GMT 2024","passed","Thu Nov 21 00:37:58 GMT 2024","","test.spec.js","",""
"","3290","Check product description @Content","firefox","Thu Nov 21 00:38:04 GMT 2024","passed","Thu Nov 21 00:38:07 GMT 2024","","test.spec.js","",""
